Season_x,Subtitle,Location,Original tribes,Winner,Runner(s)-up,Runner(s)-up.1,Final vote,Timeslot (ET),Premiered Date,Premiere viewers (in millions),Ended Date,Finale viewers (in millions),Reunion viewers (in millions),TV season,Rank_x,Viewers (in millions),Year,Unnamed: 0,Rank_y,Ep 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Average,Season_y,Rank.1,Average.1
17,Gabon,"Wonga-Wongue Presidential Reserve, Estuaire, Gabon","A schoolyard pick of two tribes of nine new players, starting with the oldest players","Robert ""Bob"" Crowley",Susie Smith,"Jessica ""Sugar"" Kiper",4–3–0,Thursday 8:00 pm,"September 25, 2008",13.05,"December 14, 2008",13.77,11.74,2008–09,15,13.81,2008,San Juan del Sur,27,7.4,7.6,7.7,7.9,7.2,7.1,6.7,7.4,7.9,8.3,7.6,7.8,8.2,,,7.6,Gabon,29,7.591666666666666
18,Tocantins,"Jalapão, Tocantins, Brazil",Two tribes of eight new players,"James ""J.T."" Thomas Jr.",Stephen Fishbach,Stephen Fishbach,7–0,Thursday 8:00 pm,"February 12, 2009",13.63,"May 17, 2009",12.94[73],11.59[73],2008–09,19,12.86,2009,Worlds Apart,15,7.8,7.5,7.1,7.6,7.7,8.3,7.6,7.5,8.1,8.1,7.8,8.4,8.3,,,7.8307692307692305,Tocantins,30,7.546153846153846
19,Samoa,"Upolu, Samoa",Two tribes of ten new players,Natalie White,Russell Hantz,Mick Trimming,7–2–0,Thursday 8:00 pm,"September 17, 2009",11.66,"December 20, 2009",13.97[76],11.68[76],2009–10,17,12.34,2009,Caramoan,22,7.6,7.3,7.0,7.3,8.5,6.9,6.9,7.9,8.1,8.9,7.6,7.7,7.8,7.5,,7.642857142857143,Samoa,26,7.607142857142857
20,Heroes vs. Villains,"Upolu, Samoa","Two tribes of ten returning players divided by reputation: ""heroes"" vs. ""villains""",Sandra Diaz-Twine,Parvati Shallow,Russell Hantz,6–3–0,Thursday 8:00 pm,"February 11, 2010",14.15,"May 16, 2010",13.46[80],10.65[80],2009–10,14,12.60,2010,Africa,33,7.5,7.4,7.4,7.4,7.8,7.6,7.6,7.6,7.5,7.3,7.4,7.1,7.8,,,7.492307692307692,Heroes vs. Villains,3,8.299999999999999
21,Nicaragua,"San Juan del Sur, Rivas, Nicaragua[11]",Two tribes of ten new players divided by age,"Jud ""Fabio"" Birza",Chase Rice,"Matthew ""Sash"" Lenahan",5–4–0,Wednesday 8:00 pm,"September 15, 2010",12.23,"December 19, 2010",13.58[83],11.19[83],2010–11,11,13.61,2010,42,35,7.4,7.3,8.0,7.2,7.2,7.7,7.3,5.1,7.3,8.8,8.2,7.6,,,,7.425,Nicaragua,42,7.042857142857144
22,Redemption Island,"San Juan del Sur, Rivas, Nicaragua[11]","Two tribes of nine, including two returning players",Rob Mariano,Phillip Sheppard,Natalie Tenerelli,8–1–0,Wednesday 8:00 pm,"February 16, 2011",11.17,"May 15, 2011",13.30[86],10.97[86],2010–11,18,12.59,2011,43,36,7.1,7.5,7.2,7.2,7.4,7.4,6.7,7.0,7.8,7.5,7.6,8.9,7.0,,,7.407692307692307,Redemption Island,43,6.82142857142857
23,South Pacific,"Upolu, Samoa","Two tribes of nine, including two returning players",Sophie Clarke,"Benjamin ""Coach"" Wade",Albert Destrade,6–3–0,Wednesday 8:00 pm,"September 14, 2011",10.74,"December 18, 2011",13.07[89],9.92[89],2011–12,18,12.77,2011,Kaoh Rong,17,7.5,7.9,7.7,8.2,7.5,7.6,7.2,8.0,8.6,8.9,7.6,7.5,7.2,7.7,,7.792857142857144,South Pacific,32,7.507142857142858
24,One World,"Upolu, Samoa",Two tribes of nine new players divided by gender living on the same beach,Kim Spradlin,Sabrina Thompson,Chelsea Meissner,7–2–0,Wednesday 8:00 pm,"February 15, 2012",10.79,"May 13, 2012",10.34[92],7.72[92],2011–12,26,11.64,2012,41,44,4.8,5.6,5.6,6.2,5.8,5.3,6.9,6.1,6.5,7.4,5.3,5.8,4.8,,,5.8538461538461535,One World,41,7.057142857142856
25,Philippines,"Caramoan, Camarines Sur, Philippines","Three tribes of six, including three returning players who had been medically evacuated in a previous season",Denise Stapley,Lisa Whelchel &  Michael Skupin,Lisa Whelchel &  Michael Skupin,6–1–1,Wednesday 8:00 pm,"September 19, 2012",11.37,"December 16, 2012",11.46[95],8.77[96],2012–13,21,11.85,2012,Fiji,40,6.9,6.8,6.8,7.0,7.0,7.2,7.5,7.3,7.2,8.0,7.3,7.1,8.0,7.4,,7.25,Philippines,13,7.8500000000000005
26,Caramoan,"Caramoan, Camarines Sur, Philippines",Two tribes of ten: new players against past contestants,John Cochran,Dawn Meehan &  Sherri Biethman,Dawn Meehan &  Sherri Biethman,8–0–0,Wednesday 8:00 pm,"February 13, 2013",8.94,"May 12, 2013",10.16[99],8.13[99],2012–13,28,10.82,2013,Redemption Island,43,7.6,7.0,7.3,7.0,6.7,6.4,6.8,7.2,6.7,6.3,6.6,6.6,6.7,6.6,,6.82142857142857,Caramoan,22,7.642857142857143
